CP:arrondissement
H0A:None
H1A:Pointe-aux-Trembles
H2A:Saint-Michel district, Quebec|Saint-Michel
H3A:Downtown Montreal
H4A:Notre-Dame-de-Grâce, Quebec|Notre-Dame-de-Grâce
H5A:Place Bonaventure
H7A:Duvernay-Est, Quebec|Duvernay-Est
H8A:None
H9A:Dollard-des-Ormeaux|Dollard-des-<br>Ormeaux
H0B:None
H1B:Montreal East, Quebec|Montreal East
H2B:Ahuntsic, Quebec|Ahuntsic
H3B:Ville-Marie (borough)|Downtown Montreal
H4B:Notre-Dame-de-Grâce, Quebec|Notre-Dame-de-Grâce
H5B:Place Desjardins
H7B:Saint-François, Laval, Quebec|Saint-François
H8B:None
H9B:Dollard-des-Ormeaux|Dollard-des-<br>Ormeaux
H0C:None
H1C:Rivière-des-Prairies
H2C:Ahuntsic, Quebec|Ahuntsic
H3C:Griffintown, Quebec|Griffintown
H4C:Saint-Henri, Montreal|Saint-Henri
H5C:None
H7C:Saint-Vincent-de-Paul, Quebec|Saint-Vincent-de-Paul
H8C:None
H9C:L'Île-Bizard, Quebec|L'Île-Bizard
H0E:None
H1E:Rivière-des-Prairies
H2E:Villeray, Quebec|Villeray
H3E:L'Île-Des-Soeurs, Quebec|L'Île-Des-Soeurs
H4E:Ville Émard, Quebec|Ville Émard
H5E:None
H7E:Duvernay, Quebec|Duvernay
H8E:None
H9E:L'Île-Bizard, Quebec|L'Île-Bizard
H0G:None
H1G:Montréal-Nord
H2G:Petite-Patrie, Quebec|Petite-Patrie
H3G:Downtown Montreal
H4G:Verdun, Quebec|Verdun
H5G:None
H7G:Pont-Viau, Quebec|Pont-Viau
H8G:None
H9G:Dollard-des-Ormeaux|Dollard-des-<br>Ormeaux
H0H:Postal codes in Canada#Santa Claus|Santa Claus
H1H:Montreal North, Quebec|Montreal North
H2H:The Plateau|Plateau Mont-Royal
H3H:Downtown Montreal
H4H:Verdun, Quebec|Verdun
H5H:None
H7H:Auteuil, Quebec|Auteuil
H8H:None
H9H:Sainte-Geneviève, Quebec|Sainte-Geneviève
H0J:None
H1J:Anjou, Quebec|Anjou
H2J:The Plateau|Plateau Mont-Royal
H3J:Petite-Bourgogne
H4J:Cartierville, Quebec|Cartierville
H5J:None
H7J:Auteuil, Quebec|Auteuil
H8J:None
H9J:Kirkland, Quebec|Kirkland
H0K:None
H1K:Anjou, Quebec|Anjou
H2K:Centre-Sud, Quebec|Centre-Sud
H3K:Pointe-Saint-Charles, Quebec|Pointe-Saint-Charles
H4K:Cartierville, Quebec|Cartierville
H5K:None
